image_name,label
06751a1a402ac174983b_crop_01_word_01.png,Tùng
06751a1a402ac174983b_crop_01_word_02.png,Nguyễn
06751a1a402ac174983b_crop_02_word_00.png,Trang
06751a1a402ac174983b_crop_02_word_01.png,Thị
06751a1a402ac174983b_crop_02_word_02.png,Thúy
06751a1a402ac174983b_crop_02_word_03.png,Vũ
06751a1a402ac174983b_crop_03_word_00.png,Vũ
06751a1a402ac174983b_crop_03_word_01.png,Hằng
06751a1a402ac174983b_crop_03_word_02.png,Thanh
06751a1a402ac174983b_crop_03_word_03.png,Nga
06751a1a402ac174983b_crop_04_word_00.png,Thúy
06751a1a402ac174983b_crop_04_word_01.png,Nga
06751a1a402ac174983b_crop_04_word_02.png,Hoàng
06751a1a402ac174983b_crop_05_word_00.png,Văn
06751a1a402ac174983b_crop_05_word_01.png,Tâm
06751a1a402ac174983b_crop_05_word_02.png,Trần
06751a1a402ac174983b_crop_05_word_03.png,Lương
06751a1a402ac174983b_crop_06_word_00.png,Trình
06751a1a402ac174983b_crop_06_word_01.png,Đức
06751a1a402ac174983b_crop_06_word_02.png,Nông
06751a1a402ac174983b_crop_07_word_00.png,Yến
06751a1a402ac174983b_crop_07_word_01.png,Thị
06751a1a402ac174983b_crop_07_word_02.png,Nguyễn
06751a1a402ac174983b_crop_07_word_03.png,Hải
06751a1a402ac174983b_crop_08_word_00.png,Thị
06751a1a402ac174983b_crop_08_word_01.png,Thảo
06751a1a402ac174983b_crop_08_word_02.png,Huyền
06751a1a402ac174983b_crop_08_word_03.png,Phạm
06751a1a402ac174983b_crop_09_word_00.png,Trần
06751a1a402ac174983b_crop_09_word_01.png,Lan
06751a1a402ac174983b_crop_09_word_02.png,Phương
06751a1a402ac174983b_crop_10_word_00.png,Thị
06751a1a402ac174983b_crop_10_word_01.png,Nụ
06751a1a402ac174983b_crop_10_word_02.png,Nguyễn
06751a1a402ac174983b_crop_11_word_00.png,Nga
06751a1a402ac174983b_crop_11_word_01.png,Thu
06751a1a402ac174983b_crop_11_word_02.png,Thị
06751a1a402ac174983b_crop_11_word_03.png,Nguyễn
06751a1a402ac174983b_crop_12_word_00.png,Trần
06751a1a402ac174983b_crop_12_word_01.png,Duy
06751a1a402ac174983b_crop_12_word_02.png,Công
06751a1a402ac174983b_crop_13_word_00.png,Dương
06751a1a402ac174983b_crop_13_word_01.png,Tuấn
06751a1a402ac174983b_crop_13_word_02.png,Phan
06751a1a402ac174983b_crop_14_word_00.png,Phạm
06751a1a402ac174983b_crop_14_word_01.png,Nam
06751a1a402ac174983b_crop_14_word_02.png,Văn
06751a1a402ac174983b_crop_15_word_00.png,Cường
06751a1a402ac174983b_crop_15_word_01.png,Cát
06751a1a402ac174983b_crop_15_word_02.png,Vũ
06751a1a402ac174983b_crop_15_word_03.png,Quốc
0b904d5916699737ce78_crop_01_word_00.png,Hiệp
0b904d5916699737ce78_crop_01_word_01.png,Tuấn
0b904d5916699737ce78_crop_01_word_02.png,Nguyễn
0b904d5916699737ce78_crop_02_word_00.png,Thắng
0b904d5916699737ce78_crop_02_word_01.png,Đức
0b904d5916699737ce78_crop_02_word_02.png,Trần
0b904d5916699737ce78_crop_03_word_00.png,Vũ
0b904d5916699737ce78_crop_03_word_01.png,Huyền
0b904d5916699737ce78_crop_03_word_02.png,Thị
0b904d5916699737ce78_crop_03_word_03.png,Thu
0b904d5916699737ce78_crop_04_word_00.png,Nụ
0b904d5916699737ce78_crop_04_word_01.png,Nguyễn
0b904d5916699737ce78_crop_04_word_02.png,Thị
0b904d5916699737ce78_crop_05_word_00.png,Thu
0b904d5916699737ce78_crop_05_word_01.png,Thị
0b904d5916699737ce78_crop_05_word_02.png,Nguyễn
0b904d5916699737ce78_crop_06_word_00.png,Anh
0b904d5916699737ce78_crop_06_word_01.png,Tú
0b904d5916699737ce78_crop_06_word_02.png,Lê
0b904d5916699737ce78_crop_07_word_00.png,Ánh
0b904d5916699737ce78_crop_07_word_01.png,Đặng
0b904d5916699737ce78_crop_07_word_02.png,Thị
0b904d5916699737ce78_crop_08_word_00.png,Thanh
0b904d5916699737ce78_crop_08_word_01.png,Nguyễn
0b904d5916699737ce78_crop_08_word_02.png,Loan
0b904d5916699737ce78_crop_09_word_00.png,Trang
0b904d5916699737ce78_crop_09_word_01.png,Thu
0b904d5916699737ce78_crop_09_word_02.png,Nguyễn
0b904d5916699737ce78_crop_10_word_00.png,Lan
0b904d5916699737ce78_crop_10_word_01.png,Anh
0b904d5916699737ce78_crop_10_word_02.png,Trịnh
0b904d5916699737ce78_crop_10_word_03.png,Thị
0b904d5916699737ce78_crop_11_word_00.png,Vân
0b904d5916699737ce78_crop_11_word_01.png,Phùng
0b904d5916699737ce78_crop_11_word_02.png,Anh
0b904d5916699737ce78_crop_11_word_03.png,Thị
0b904d5916699737ce78_crop_12_word_00.png,Bùi
0b904d5916699737ce78_crop_12_word_01.png,Liên
0b904d5916699737ce78_crop_12_word_02.png,Thúy
0b904d5916699737ce78_crop_13_word_00.png,Minh
0b904d5916699737ce78_crop_13_word_01.png,Thị
0b904d5916699737ce78_crop_13_word_02.png,Nghĩa
0b904d5916699737ce78_crop_13_word_03.png,Vũ
0b904d5916699737ce78_crop_14_word_00.png,Tôn
0b904d5916699737ce78_crop_14_word_01.png,Hải
0b904d5916699737ce78_crop_14_word_02.png,Đức
0b904d5916699737ce78_crop_15_word_00.png,Hoàng
0b904d5916699737ce78_crop_15_word_01.png,Khải
0b904d5916699737ce78_crop_15_word_02.png,Gia
0b904d5916699737ce78_crop_15_word_03.png,Nguyễn
200aeec3b5f334ad6de2_crop_01_word_00.png,Công
200aeec3b5f334ad6de2_crop_01_word_01.png,Trần
200aeec3b5f334ad6de2_crop_01_word_02.png,Duy
