image_name,label
010f6b4ae375622b3b64_crop_01_word_00.png,Phương
010f6b4ae375622b3b64_crop_01_word_01.png,Phương
010f6b4ae375622b3b64_crop_01_word_02.png,Nguyễn
010f6b4ae375622b3b64_crop_02_word_00.png,Trâm
010f6b4ae375622b3b64_crop_02_word_01.png,Mai
010f6b4ae375622b3b64_crop_02_word_02.png,Thị
010f6b4ae375622b3b64_crop_02_word_03.png,Phạm
010f6b4ae375622b3b64_crop_03_word_00.png,Phương
010f6b4ae375622b3b64_crop_03_word_01.png,Thu
010f6b4ae375622b3b64_crop_03_word_02.png,Vũ
010f6b4ae375622b3b64_crop_04_word_00.png,My
010f6b4ae375622b3b64_crop_04_word_01.png,Thảo
010f6b4ae375622b3b64_crop_04_word_02.png,Nguyễn
010f6b4ae375622b3b64_crop_05_word_00.png,Vân
010f6b4ae375622b3b64_crop_05_word_01.png,Hồng
010f6b4ae375622b3b64_crop_05_word_02.png,Thị
010f6b4ae375622b3b64_crop_05_word_03.png,Nguyễn
010f6b4ae375622b3b64_crop_06_word_00.png,Tân
010f6b4ae375622b3b64_crop_06_word_01.png,Minh
010f6b4ae375622b3b64_crop_06_word_02.png,Thi
010f6b4ae375622b3b64_crop_06_word_03.png,Giáp
010f6b4ae375622b3b64_crop_07_word_00.png,Thảo
010f6b4ae375622b3b64_crop_07_word_01.png,Thạch
010f6b4ae375622b3b64_crop_07_word_02.png,Ngọc
010f6b4ae375622b3b64_crop_07_word_03.png,Nguyễn
010f6b4ae375622b3b64_crop_08_word_00.png,Anh
010f6b4ae375622b3b64_crop_08_word_01.png,Hương
010f6b4ae375622b3b64_crop_08_word_02.png,Lý
010f6b4ae375622b3b64_crop_09_word_00.png,Nguyệt
010f6b4ae375622b3b64_crop_09_word_01.png,Minh
010f6b4ae375622b3b64_crop_09_word_02.png,Thị
010f6b4ae375622b3b64_crop_09_word_03.png,Nguyễn
010f6b4ae375622b3b64_crop_10_word_00.png,Dũng
010f6b4ae375622b3b64_crop_10_word_01.png,Vũ
010f6b4ae375622b3b64_crop_10_word_02.png,Nguyễn
010f6b4ae375622b3b64_crop_11_word_00.png,Lâm
010f6b4ae375622b3b64_crop_11_word_01.png,Tùng
010f6b4ae375622b3b64_crop_11_word_02.png,Nguyễn
010f6b4ae375622b3b64_crop_12_word_00.png,Quỳnh
010f6b4ae375622b3b64_crop_12_word_01.png,Anh
010f6b4ae375622b3b64_crop_12_word_02.png,Thị
010f6b4ae375622b3b64_crop_12_word_03.png,Nguyễn
010f6b4ae375622b3b64_crop_13_word_00.png,Anh
010f6b4ae375622b3b64_crop_13_word_01.png,Quỳnh
010f6b4ae375622b3b64_crop_13_word_02.png,Trần
010f6b4ae375622b3b64_crop_14_word_00.png,Trang
010f6b4ae375622b3b64_crop_14_word_01.png,Mai
010f6b4ae375622b3b64_crop_14_word_02.png,Đỗ
010f6b4ae375622b3b64_crop_15_word_00.png,Vy
010f6b4ae375622b3b64_crop_15_word_01.png,Ngọc
010f6b4ae375622b3b64_crop_15_word_02.png,Hoàng
010f6b4ae375622b3b64_crop_15_word_03.png,Nguyễn
06751a1a402ac174983b_crop_01_word_00.png,06751a1a402ac174983b_crop_01_word
06751a1a402ac174983b_crop_01_word_01.png,Tùng
06751a1a402ac174983b_crop_01_word_02.png,Nguyễn
06751a1a402ac174983b_crop_02_word_00.png,Trang
06751a1a402ac174983b_crop_02_word_01.png,Thúy
06751a1a402ac174983b_crop_02_word_02.png,Thị
06751a1a402ac174983b_crop_02_word_03.png,Vũ
06751a1a402ac174983b_crop_03_word_00.png,Nga
