image,field,truth,pred,correct,crop_path,debug_path
4461f793dbb45aea03a5.jpg,mssv,83095176,83095176,True,data\eval_artifacts\4461f793dbb45aea03a5\crops\mssv.png,data\id_code_debug\4461f793dbb45aea03a5\mssv_debug.png
4461f793dbb45aea03a5.jpg,ma_de,135,135,True,data\eval_artifacts\4461f793dbb45aea03a5\crops\ma_de.png,data\id_code_debug\4461f793dbb45aea03a5\ma_de_debug.png
4a6b7a9056b7d7e98ea6.jpg,mssv,83095176,83095176,True,data\eval_artifacts\4a6b7a9056b7d7e98ea6\crops\mssv.png,data\id_code_debug\4a6b7a9056b7d7e98ea6\mssv_debug.png
4a6b7a9056b7d7e98ea6.jpg,ma_de,135,135,True,data\eval_artifacts\4a6b7a9056b7d7e98ea6\crops\ma_de.png,data\id_code_debug\4a6b7a9056b7d7e98ea6\ma_de_debug.png
b1262cde00f981a7d8e8.jpg,mssv,83095176,83095176,True,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,data\id_code_debug\b1262cde00f981a7d8e8\mssv_debug.png
b1262cde00f981a7d8e8.jpg,ma_de,135,135,True,data\eval_artifacts\b1262cde00f981a7d8e8\crops\ma_de.png,data\id_code_debug\b1262cde00f981a7d8e8\ma_de_debug.png
bd65cc80e0a761f938b6.jpg,mssv,83095176,83095176,True,data\eval_artifacts\bd65cc80e0a761f938b6\crops\mssv.png,data\id_code_debug\bd65cc80e0a761f938b6\mssv_debug.png
bd65cc80e0a761f938b6.jpg,ma_de,135,135,True,data\eval_artifacts\bd65cc80e0a761f938b6\crops\ma_de.png,data\id_code_debug\bd65cc80e0a761f938b6\ma_de_debug.png
40d7f93dd51a54440d0b.jpg,mssv,22012467,22012467,True,data\eval_artifacts\40d7f93dd51a54440d0b\crops\mssv.png,data\id_code_debug\40d7f93dd51a54440d0b\mssv_debug.png
40d7f93dd51a54440d0b.jpg,ma_de,213,213,True,data\eval_artifacts\40d7f93dd51a54440d0b\crops\ma_de.png,data\id_code_debug\40d7f93dd51a54440d0b\ma_de_debug.png
72f6ce1ee23963673a28.jpg,mssv,22012467,22012467,True,data\eval_artifacts\72f6ce1ee23963673a28\crops\mssv.png,data\id_code_debug\72f6ce1ee23963673a28\mssv_debug.png
72f6ce1ee23963673a28.jpg,ma_de,213,213,True,data\eval_artifacts\72f6ce1ee23963673a28\crops\ma_de.png,data\id_code_debug\72f6ce1ee23963673a28\ma_de_debug.png
d9fe27170b308a6ed321.jpg,mssv,22012467,22012467,True,data\eval_artifacts\d9fe27170b308a6ed321\crops\mssv.png,data\id_code_debug\d9fe27170b308a6ed321\mssv_debug.png
